label,fitur,fitur_translated
1,pemakaian masker menyebabkan penyakit legionnair a caller to a radio talk show recent share that hi wife wa hospit n told she had covid n onli a coupl of day left to live a doctor friend suggest she be test for legionnair diseas becaus she wore the same mask everi day all day long turn out it wa legionnair diseas from the moistur n bacteria in her mask she wa given antibiot n within two day wa better what if these spike in covid are realli someth els due to mask induc infect,Use of Masks Cause Legionnait A Caller To A Radio Talk Show Recent Share That Hi Wife Wa Hospit N Told She Had Covid N Onli A Coupl Of Day Left To Live A Doctor Friend Suggest She Be Test for Legionnair Diseas BECAUS She Wore The Same Mask Everi Day All Day Long Turn Out It Wa Legionnair Diseas From The Moistur N Bacteria In Her Mask She Wa Given Antibiot N Within Two Day Wa Better What IF These Spike In Covid Are Reali Someth Due To Mask Induc Infect
1,instruksi gubernur jateng penilangan yg bermask muka rp e tilang via app pikobar yth anggota grup sesuai instruksi gubernur jawa hasil rapat tim gugu tuga covid jateng sbb,Instruction of the Governor of Central Java on the face of the face of Rp E Ticket Via Pikobar YTH group member in accordance with the Instruction of the Governor of Javanese Results Gugu Tuga Tuga Covid Central Java SBB
1,foto jim rohn jokowi presiden terbaik dlm sejarah bangsa indonesia jokowi presiden terbaik dlm sejarah bangsa indonesia jim rohn motiv terbaik dunia,Photo of Jim Rohn Jokowi The Best President in the History of the Indonesian Nation Jokowi The Best President in the History of the Indonesian Nation Jim Rohn Motiv Best World
1,politik kenyataan jokowi berhasil memulangkan triliun uang negara swiss maaf ma mbak politik kenyataan jokowi berhasil memulangkan triliun uang negara swiss ribu triliun bawa indonesia ruu treati on mutual legal assist in crimin matter between the republ of indonesia and the swiss confeder mla ri swiss resmi disahkan dpr ri tanggal juli prose konstitusi menarik dana swiss selesai perjuangan menghadapi ex koruptor bersenggama agama terimakasih kadrun nyinyirian uang triliun indonesia nyinyir sulit ruu disahkan dpr pemilik reken gendut gigit jari tekanan jokowi kencang baca beritanya,Politics The reality of Jokowi succeeded in repatriating the trillion Swiss state money Sorry Ma Mbak Politik reality Jokowi managed to repatriate trillion trillions of Swiss money thousand trillion brought Indonesia Bill Treate on Mutual Legal Assist in Crimin Matter Between The Republic of Indonesia and the Swiss Confeder MLA RI Switzerland officially authorized On July Prose Constitution Attract Switzerland Funds After the struggle to face ex-corrupt corruptes Thank you for the nyanyirian Money Indonesia Money Nyinyir Difficult Bill Applyed by the House Own Fat Git Bite Jokowi Finger Pressure Reading
1,foto kadrun kalo lihat foto pana dingin kadrun kalo lihat foto pana dingin,photo kadrun if you see a photo of a cold pana kadrun if you see a cold pana photo
1,event promo smartphon jne spesial juni selamat siang teman teman fb ku cuman informasi rezeki gak kemana ya kemarin mengikuti event promo smartphon jne spesial juni mesan smartphon vivo v pro cuman seharga rp gak nyangka seharga rp hp vivo v pro teman teman fb ku yg penasaran ikutan inbox aja wa adminnya,event promo smartphon jne special june good afternoon friend fb ku cuman information on sustenance don't go where yes yesterday following the jne smart phones promo events juni mesan smartphon vivo v pro cuman for Rp. I can't do Rp. just wa admin
1,menguasai negri lihatlah menguasai negri,Masters Negri Look Masturbating Negri
1,foto presiden italia menangi lahan mengubur an korban corona italia fasilita perawatan kesehatan tercanggih gagal mengendalikan corona dianggap lelucon presiden menangi lahan mengubur an korban corona,"The photo of the Italian president won the plan to bury Corona Italy, the most sophisticated health care health care failed to control Corona considered a joke of the President to win the land burst of Corona victims"
1,kapolr timor utara nusa tenggara timur klarifikasi terkait video polisi diamkan korban kecelakaan polisi goblok bukanya cpet d tolongin d liati aja,"North East Timor Kapol, East Nusa Tenggara Clarification Regarding the Police Video Improvement of GOBLOK Police Accident Victims GOBLOWS PET DWIST BEWARE"
1,video polisi china menganiaya wanita uighur lehernya cekik pake kaki polisi china menganiaya wanita uighur lehernya cekik pake kaki melek tu yg bilang penganiayaan ham diam seribu bahasa polisi liat giliran orang biadab,Chinese Police Video Persecuting Uighur Women Neck Bechik Use Chinese Police Feet Persecuting Uighur Women's Neck Bechik Pake Foot Legged Tu Who Said Human Rights Persecution Silent Thousand Language Police Look Turn People
1,jokowi bersedia mengundurkan jokowi bersedia mengundurkan gue nih,Jokowi is willing to resign Jokowi willing to resign me
1,info jalur rawan begal himbauan malam kapolr cianjur begal merambat wilayah cianjur wilayah rewan begal d harapkan waspada penuh d malam jalur gekbrong arah sukabmi cibeb arah campaka samp cilaku,"Path info is prone to the night of the night of the Cianjur Kapolr, the Cianjur spread of the Cianjur area, the area of ​​Rewan Dwan, hopes that the full alert is the night of the Gekbrong route in the direction of Sukabmi Cibeb in the direction of Campaka Samp Cilku"
1,dirut pt agung podomoro land cosma batubara meningg dunia berduka cita meninggalnya pejuang angkatan cosma batubara sabtu juli wib semoga maha kuasa mengampuni dosanya layak disisi nya aamiin,"Managing Director of PT Agung Podomoro Land Cosma Cosma Dev the World of Mourning the Death of Cosma Cosma Fighters Batubara Saturday July, hopefully the Almighty forgives his sin is worthy of Aamiin"
1,sbi telepon moeldoko suruh jokowi akui kekalahan bantu sebar ya sbi telpon moeldoko suruh jkw akui kekalahan info jender gak gusar panik ya pejuang pejuang info valid,"SBI Phone Moeldoko Tell Jokowi Admitted Auxiliary Defeat Spread, SBI Phone Moeldoko Tell JKW Admits Gender Info Defeat Doesn't Become Panik Yes Fighters Fighters Valid Info"
1,foto anak rohingya disiksa komuni relakah anak cucu dibikin anak rohingya komuni berkuasa,Photos of Rohingya Children Tortured Communion for Cucu Children Mobilized by Rohingya Children Communion in Ruling
1,orang cina ktp cilacap nama karsono kejadian pln pltu cilacap bunton adipala orang cina berbahasa indonesia bahasa jawa banyumasan tp ktp cilacap nama karsono payah kie camat bupatin bener,Chinese KTP Cilacap Karsono Name of PLN Genesis PLN Cilacap Bunton Adipala Chinese People Language Indonesian Language Javanese Banyumasan Tp Ktp Cilacap Name Karsono Name Kie Subdistrict Bupatin Bener
1,fadli zon warga indonesia pilih prabowo pilpr usir indonesia fadlizon warga indonesia yg tdk pilih prabowo pilpr km usir dr indonesia seriu si zonk http t co jvjxc jhmp,Fadli Zon Citizens Indonesian Choose Prabowo Pilpr Imir Indonesia Fadlizon Indonesian Citizens Who Choose Prabowo Km Pilpr Drive Dr Indonesia Si Seriu Si Zonk HTTP T CO JVJXC JHMP
